,acc_phone_x,acc_phone_y,acc_phone_z,labelwalking,labelstanding,labelbiking,labelsitting,labelrunning,labelontable,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,pedom_phone_steps,pedom_phone_distance
2018-06-07 17:31:08.522,-7.15804443359,6.72501220703,0.188909912109,0,0,1,0,0,0,-41.5374388123,10.9928030395,-8.78750732422,101.4869,6041.0,4833.115
2018-06-07 17:31:08.772,-7.44144897461,6.80946655273,0.257604980469,0,0,1,0,0,0,-41.997724762,10.7560699463,-8.9348828125,101.4869,6041.0,4833.115
2018-06-07 17:31:09.022,-7.35556640625,6.62778320313,0.311224365234,0,0,1,0,0,0,-41.7548005676,10.0997207642,-7.69150390625,101.4869,6041.0,4833.115
2018-06-07 17:31:09.272,-7.7670715332,6.56631469727,0.287377929688,0,0,1,0,0,0,-42.2285411072,10.2685897827,-8.55030273437,101.48794,6041.0,4833.115
2018-06-07 17:31:09.522,-7.16376671424,6.62267831656,0.23305452787,0,0,1,0,0,0,-41.8888758146,10.1982530447,-10.6141756498,101.4882,6041.0,4833.115
2018-06-07 17:31:09.772,-7.76793823242,6.54664306641,0.349780273437,0,0,1,0,0,0,-42.6740180969,10.0849917603,-14.1774584961,101.4882,6045.08,4835.31752
2018-06-07 17:31:10.022,-7.59763793946,5.94790649414,0.693286132812,0,0,1,0,0,0,-42.6890513611,9.45159606934,-17.4805786133,101.4882,6047.0,4836.354
2018-06-07 17:31:10.272,-7.15556030274,6.7674621582,0.723999023438,0,0,1,0,0,0,-41.7965196228,9.95382904052,-22.9742211914,101.4882,6047.0,4836.354
2018-06-07 17:31:10.522,-8.75592041016,7.34903564453,0.27163696289,0,0,1,0,0,0,-39.39960495,9.95760284423,-27.2329467773,101.4882,6047.0,4836.354
2018-06-07 17:31:10.772,-7.32756958007,5.52129516602,-0.127325439453,0,0,1,0,0,0,-39.0650880432,7.43388153076,-30.9605712891,101.4882,6047.0,4836.354
2018-06-07 17:31:11.022,-8.91045532226,5.41545410156,-0.480249023437,0,0,1,0,0,0,-37.1420246887,3.42557067871,-33.454440918,101.48774,6047.0,4836.354
2018-06-07 17:31:11.272,-9.03428955078,5.73560180664,-0.438116455078,0,0,1,0,0,0,-35.5011125183,0.658488769531,-35.3211230469,101.4859,6047.0,4836.354
2018-06-07 17:31:11.522,-9.03632202148,5.49035644531,-0.7775390625,0,0,1,0,0,0,-33.4225715637,4.73024078369,-35.8336938477,101.4859,6047.0,4836.354
