,acc_phone_x,acc_phone_y,acc_phone_z,labelwalking,labelstanding,labelbiking,labelsitting,labelrunning,labelontable,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,pedom_phone_steps,pedom_phone_distance
2018-06-07 16:13:52.772,1.5145263671879601,-3.2101074218756001,-11.233117675786801,1,0,0,0,0,0,3.57433944702,-26.7234152222,-31.0033496094,101.4691,156.0,118.0471
2018-06-07 16:13:53.022,0.55468750000049516,-2.7702453613288003,-7.7264587402331992,1,0,0,0,0,0,2.69792236328,-26.5856799316,-31.4391796875,101.4691,160.0,121.1271
2018-06-07 16:13:53.272,0.22429809570341677,-4.2683959960935995,-10.3198913574368,1,0,0,0,0,0,1.0733366394,-28.6689604187,-29.5739770508,101.4691,160.0,121.1271
2018-06-07 16:13:53.522,-0.19305302546610384,-3.7497065617492309,-8.3590698242192314,1,0,0,0,0,0,2.98526998667,-31.3622565636,-26.4388662485,101.4691,160.0,121.1271
2018-06-07 16:13:53.772,0.483020019531468,-4.7677612304687997,-9.0219299316376009,1,0,0,0,0,0,5.97337051392,-27.9010816956,-29.4125756836,101.4691,160.0,121.1271
2018-06-07 16:13:54.022,1.69563598632816,-2.7227050781240001,-10.903601074216001,1,0,0,0,0,0,6.35278335571,-26.2299378967,-30.7220410156,101.4691,160.0,121.1271
2018-06-07 16:13:54.272,0.98248901367113606,-3.5442626953123999,-8.2350402832023999,1,0,0,0,0,0,5.19452209473,-27.1372416687,-30.1562207031,101.4691,160.0,121.1271
2018-06-07 16:13:54.522,-1.0967529296875158,-3.2600402832020001,-10.283947753907201,1,0,0,0,0,0,0.654588775635,-28.0784248352,-29.8233447266,101.4691,160.0,121.1271
2018-06-07 16:13:54.772,-0.14838256835903996,-4.0288696289064001,-6.6866638183579994,1,0,0,0,0,0,8.9007408142,-32.8165588379,-24.0733911133,101.469064,160.0,121.1271
2018-06-07 16:13:55.022,1.0731994628903201,-5.3782653808592,-10.244952392578801,1,0,0,0,0,0,13.1054477692,-28.2828890991,-30.2370922852,101.469,160.0,121.1271
2018-06-07 16:13:55.272,0.17301635742152005,-3.2433227539075999,-9.4873718261723994,1,0,0,0,0,0,6.76382446289,-28.5269094849,-31.6357202149,101.469,160.0,121.1271
2018-06-07 16:13:55.522,0.026654052734143993,-4.0493469238272004,-8.3866210937499996,1,0,0,0,0,0,3.35698852539,-28.7642340088,-31.656965332,101.469,160.0,121.1271
2018-06-07 16:13:55.772,-2.3323998084425765,-3.5861734243546155,-10.17798203687923,1,0,0,0,0,0,2.89043984046,-29.8456413562,-30.4535522461,101.469,160.0,121.1271
2018-06-07 16:13:56.022,-0.59020385742255987,-3.7849243164055997,-8.0227294921884003,1,0,0,0,0,0,5.47192108154,-29.5070228577,-30.7016162109,101.469,160.0,121.1271
2018-06-07 16:13:56.272,0.9841613769524199,-5.0054626464852001,-10.583203124994,1,0,0,0,0,0,7.67516098022,-30.807223053,-28.9509619141,101.469,160.0,121.1271
2018-06-07 16:13:56.522,0.90893554687440004,-4.4648193359375998,-7.2886413574219997,1,0,0,0,0,0,6.38486175537,-34.390662384,-24.9293457031,101.469,160.0,121.1271
2018-06-07 16:13:56.772,-0.44146728515620998,-5.8162902832036005,-8.946362304688801,1,0,0,0,0,0,2.85210708618,-33.6383459473,-26.7320556641,101.468924,160.0,121.1271
2018-06-07 16:13:57.022,-2.1205627441413601,-4.1932250976564003,-9.0727966308604007,1,0,0,0,0,0,2.61241470337,-32.8021202087,-27.7762548828,101.4689,160.0,121.1271
2018-06-07 16:13:57.272,-0.17390747070327919,-4.9205505371100005,-7.4688903808592002,1,0,0,0,0,0,7.21220596313,-32.4374700928,-27.7146313477,101.4689,160.0,121.1271
2018-06-07 16:13:57.522,1.09181518554698,-5.6738708496100001,-9.8916198730491995,1,0,0,0,0,0,8.80497848511,-32.24240448,-27.6216430664,101.4689,160.0,121.1271
2018-06-07 16:13:57.772,1.1366638183597082,-4.8520751953124002,-7.5269409179688003,1,0,0,0,0,0,6.99633148193,-34.3711170959,-25.4624487305,101.4689,160.0,121.1271
2018-06-07 16:13:58.022,0.064276123046880004,-6.466430664062,-8.3838195800828004,1,0,0,0,0,0,2.56904266357,-36.1588658142,-23.5425561523,101.4689,163.2,122.7271
2018-06-07 16:13:58.272,-0.90546241173430775,-5.3805072490973069,-8.1071941669173082,1,0,0,0,0,0,2.61160292992,-36.4866591233,-22.8752793532,101.4689,164.0,123.1271
2018-06-07 16:13:58.522,0.390808105468744,-6.2622497558596004,-7.2423461914059999,1,0,0,0,0,0,6.01561309814,-36.4980326843,-22.574387207,101.468836,164.0,123.1271
2018-06-07 16:13:58.772,1.0923461914067201,-6.6935180664064005,-8.9809631347660002,1,0,0,0,0,0,7.57408874512,-36.8963768005,-21.6334741211,101.4685,164.0,123.1271
2018-06-07 16:13:59.022,0.074267578125010017,-5.5625488281248003,-6.6043151855476001,1,0,0,0,0,0,5.7322668457,-36.8120625305,-22.5768408203,101.4685,164.0,123.1271
2018-06-07 16:13:59.272,-0.54028930664077524,-5.8810974121088,-9.3967590332079993,1,0,0,0,0,0,4.10928955078,-34.4084442139,-26.3094897461,101.4685,164.0,123.1271
2018-06-07 16:13:59.522,-0.91111450195310406,-4.0561584472655996,-8.7060241699175993,1,0,0,0,0,0,4.54705429077,-33.0676716614,-28.2991015625,101.468436,164.0,123.1271
2018-06-07 16:13:59.772,0.1554504394530852,-5.6352478027339998,-7.9710327148435995,1,0,0,0,0,0,7.50168884277,-33.5877409363,-27.2231958008,101.4683,164.0,123.1271
2018-06-07 16:14:00.022,1.1652709960931602,-5.7668579101555997,-9.305151367186399,1,0,0,0,0,0,9.28926208496,-34.8529525757,-24.8023510742,101.4683,164.0,123.1271
2018-06-07 16:14:00.272,0.49379882812471204,-5.2944030761712,-7.1053466796888003,1,0,0,0,0,0,7.12798217773,-35.3716880798,-24.7688330078,101.4683,164.0,123.1271
2018-06-07 16:14:00.522,-0.60588543231651915,-6.0994896521938466,-9.1698690561119243,1,0,0,0,0,0,6.1077540471,-36.058891003,-24.1813307542,101.468192308,166.461538462,125.022484615
2018-06-07 16:14:00.772,-0.30858154296888002,-4.8503051757820002,-7.1895812988288004,1,0,0,0,0,0,7.79488647461,-35.1965048218,-25.2242211914,101.4681,168.0,126.2071
2018-06-07 16:14:01.022,0.21438598632825598,-6.2402160644536,-8.8334960937520002,1,0,0,0,0,0,10.9192639923,-33.7753315735,-26.6467236328,101.4681,168.0,126.2071
2018-06-07 16:14:01.272,1.3640197753913201,-5.0477783203135997,-9.1124877929684001,1,0,0,0,0,0,11.9315209961,-33.4732653809,-27.0753149414,101.4681,168.0,126.2071
2018-06-07 16:14:01.522,0.40380859375,-5.2647888183595999,-7.1776245117188004,1,0,0,0,0,0,9.49502731323,-34.2655599976,-27.2230786133,101.46738,168.0,126.2071
2018-06-07 16:14:01.772,-0.86578369140596001,-5.8429382324215995,-9.7519897460928,1,0,0,0,0,0,7.97701660156,-35.2128500366,-26.3976586914,101.4671,168.0,126.2071
2018-06-07 16:14:02.022,-0.11137084960910401,-5.1386169433596001,-6.7526000976559999,1,0,0,0,0,0,9.73842933655,-35.9720849609,-25.1412353516,101.4671,168.0,126.2071
2018-06-07 16:14:02.272,-0.033331298828092007,-6.1259826660160002,-9.3969116210908012,1,0,0,0,0,0,11.5372220611,-33.6363108826,-28.1568920898,101.4671,168.0,126.2071
2018-06-07 16:14:02.522,0.097637939453248002,-4.1896362304684001,-8.874548339841601,1,0,0,0,0,0,10.3552616119,-32.7765037537,-29.9240942383,101.467008,168.0,126.2071
2018-06-07 16:14:02.772,-0.023932823767992328,-5.0773561917819228,-8.0909729003846156,1,0,0,0,0,0,8.94736935542,-33.736145313,-29.1752342811,101.467,168.0,126.2071
2018-06-07 16:14:03.022,-0.74394531249963602,-5.2590637207027999,-9.8464050292964007,1,0,0,0,0,0,9.64280517578,-35.4864179993,-26.5930444336,101.467,169.76,127.5447
2018-06-07 16:14:03.272,-0.308471679687564,-4.6699829101572004,-7.1006347656243998,1,0,0,0,0,0,12.8512361145,-35.7833651733,-25.3402612305,101.467012,172.0,129.2471
2018-06-07 16:14:03.522,-0.93773193359472407,-5.8963378906255999,-10.262500000002001,1,0,0,0,0,0,14.2856069183,-33.2107476807,-28.3225952148,101.4671,172.0,129.2471
2018-06-07 16:14:03.772,-0.056353759765376002,-4.2050598144527997,-8.3175598144552012,1,0,0,0,0,0,15.7200828552,-32.2307624817,-29.2026196289,101.4671,172.0,129.2471
2018-06-07 16:14:04.022,-0.45881347656320004,-5.1834533691404001,-8.2001953124996003,1,0,0,0,0,0,17.8517134094,-30.1494506836,-30.3243432617,101.4671,172.0,129.2471
2018-06-07 16:14:04.272,-1.0665466308584799,-5.3648742675775996,-8.4034667968759997,1,0,0,0,0,0,19.1953829956,-24.2022926331,-34.9247192383,101.467128,172.0,129.2471
2018-06-07 16:14:04.522,-1.08499755859368,-5.2777465820316003,-8.0513977050779992,1,0,0,0,0,0,21.6567332459,-17.9905213928,-37.6963842773,101.4672,172.0,129.2471
2018-06-07 16:14:04.772,0.37929077148415197,-5.4524047851560002,-9.2681884765603986,1,0,0,0,0,0,22.756855545,-11.9218252563,-39.7713452149,101.4672,172.0,129.2471
2018-06-07 16:14:05.022,0.85044555664071997,-3.5223999023431998,-10.007092285155601,1,0,0,0,0,0,20.1396186828,-8.6460067749,-42.3616113281,101.4672,172.0,129.2471
2018-06-07 16:14:05.272,2.0299499511711954,-3.9390075683591999,-8.1118225097647993,1,0,0,0,0,0,21.1440579224,-4.17549072266,-42.9026757813,101.467344,172.0,129.2471
2018-06-07 16:14:05.522,0.31184856708202691,-4.4613823523880773,-9.9059178278957667,1,0,0,0,0,0,16.2213856624,-3.76305976281,-45.3701453576,101.4675,172.923076923,129.939407692
