,device_type,distance,sensor_type,steps,timestamps
178,smartphone,382.36,pedometer,541,1.528128651998501e+18
179,smartphone,382.36,pedometer,541,1.528128653998498e+18
180,smartphone,385.6,pedometer,547,1.528128653998498e+18
181,smartphone,385.6,pedometer,547,1.528128655998496e+18
182,smartphone,385.6,pedometer,547,1.528128655998496e+18
183,smartphone,390.4,pedometer,553,1.528128657998494e+18
184,smartphone,390.4,pedometer,553,1.528128657998494e+18
185,smartphone,390.4,pedometer,553,1.5281286599984911e+18
186,smartphone,390.4,pedometer,553,1.5281286599984911e+18
187,smartphone,390.4,pedometer,553,1.528128661998488e+18
188,smartphone,390.4,pedometer,553,1.528128661998488e+18
189,smartphone,390.4,pedometer,553,1.528128663998487e+18
190,smartphone,390.4,pedometer,553,1.528128663998487e+18
191,smartphone,390.4,pedometer,553,1.528128665998484e+18
192,smartphone,390.4,pedometer,553,1.528128665998484e+18
193,smartphone,397.48,pedometer,565,1.5281286679984812e+18
194,smartphone,397.48,pedometer,565,1.5281286679984812e+18
195,smartphone,397.48,pedometer,565,1.5281286699984788e+18
196,smartphone,401.02,pedometer,571,1.5281286699984788e+18
197,smartphone,401.02,pedometer,571,1.528128671998476e+18
198,smartphone,401.02,pedometer,571,1.528128671998476e+18
199,smartphone,401.02,pedometer,571,1.528128673998475e+18
200,smartphone,401.02,pedometer,571,1.528128673998475e+18
201,smartphone,404.34,pedometer,575,1.528128675998472e+18
202,smartphone,404.34,pedometer,575,1.528128675998472e+18
203,smartphone,409.26,pedometer,581,1.52812867799847e+18
204,smartphone,409.26,pedometer,581,1.52812867799847e+18
205,smartphone,409.26,pedometer,581,1.528128679998467e+18
206,smartphone,414.18,pedometer,587,1.528128679998467e+18
207,smartphone,414.18,pedometer,587,1.528128681998465e+18
208,smartphone,417.48,pedometer,593,1.528128681998465e+18
209,smartphone,417.48,pedometer,593,1.528128683998462e+18
210,smartphone,417.48,pedometer,593,1.528128683998462e+18
211,smartphone,419.72,pedometer,597,1.5281286859984591e+18
212,smartphone,419.72,pedometer,597,1.5281286859984591e+18
213,smartphone,419.72,pedometer,597,1.5281286879984579e+18
214,smartphone,423.2,pedometer,603,1.5281286879984579e+18
215,smartphone,423.2,pedometer,603,1.528128689998455e+18
216,smartphone,426.74,pedometer,609,1.528128689998455e+18
217,smartphone,426.74,pedometer,609,1.528128691998452e+18
218,smartphone,426.74,pedometer,609,1.528128692998452e+18
219,smartphone,430.22,pedometer,615,1.528128692998452e+18
220,smartphone,430.22,pedometer,615,1.52812869499845e+18
221,smartphone,435.32,pedometer,621,1.52812869499845e+18
222,smartphone,435.32,pedometer,621,1.528128696998446e+18
223,smartphone,435.32,pedometer,621,1.528128696998446e+18
224,smartphone,438.6,pedometer,625,1.528128698998445e+18
225,smartphone,438.6,pedometer,625,1.528128698998445e+18
226,smartphone,443.4,pedometer,631,1.528128700998441e+18
227,smartphone,443.4,pedometer,631,1.528128700998441e+18
228,smartphone,443.4,pedometer,631,1.52812870299844e+18
229,smartphone,448.26,pedometer,637,1.52812870299844e+18
230,smartphone,448.26,pedometer,637,1.5281287049984369e+18
231,smartphone,451.16,pedometer,642,1.5281287049984369e+18
232,smartphone,451.16,pedometer,642,1.528128706998434e+18
233,smartphone,451.16,pedometer,642,1.528128706998434e+18
234,smartphone,454.06,pedometer,647,1.528128708998432e+18
235,smartphone,454.06,pedometer,647,1.528128708998432e+18
236,smartphone,454.06,pedometer,647,1.52812871099843e+18
237,smartphone,457.3,pedometer,653,1.52812871099843e+18
238,smartphone,457.3,pedometer,653,1.528128712998428e+18
239,smartphone,462.22,pedometer,659,1.528128712998428e+18
240,smartphone,462.22,pedometer,659,1.528128714998425e+18
241,smartphone,462.22,pedometer,659,1.528128714998425e+18
242,smartphone,465.5,pedometer,663,1.528128714998425e+18
243,smartphone,465.5,pedometer,663,1.528128716998423e+18
244,smartphone,468.98,pedometer,669,1.528128716998423e+18
245,smartphone,468.98,pedometer,669,1.5281287189984212e+18
246,smartphone,468.98,pedometer,669,1.5281287189984212e+18
247,smartphone,473.96,pedometer,675,1.528128720998418e+18
248,smartphone,473.96,pedometer,675,1.528128720998418e+18
249,smartphone,478.94,pedometer,681,1.528128722998415e+18
250,smartphone,478.94,pedometer,681,1.528128722998415e+18
251,smartphone,478.94,pedometer,681,1.528128724998413e+18
252,smartphone,483.92,pedometer,687,1.528128724998413e+18
253,smartphone,483.92,pedometer,687,1.52812872699841e+18
254,smartphone,483.92,pedometer,687,1.52812872699841e+18
255,smartphone,487.22,pedometer,693,1.5281287289984082e+18
256,smartphone,487.22,pedometer,693,1.5281287289984082e+18
257,smartphone,489.38,pedometer,697,1.5281287309984049e+18
258,smartphone,489.38,pedometer,697,1.528128731999405e+18
259,smartphone,489.38,pedometer,697,1.528128731999405e+18
260,smartphone,491.54,pedometer,701,1.528128733999402e+18
261,smartphone,491.54,pedometer,701,1.528128733999402e+18
262,smartphone,493.66,pedometer,705,1.5281287359994e+18
263,smartphone,493.66,pedometer,705,1.5281287359994e+18
264,smartphone,493.66,pedometer,705,1.528128737999398e+18
265,smartphone,495.86,pedometer,709,1.528128737999398e+18
266,smartphone,495.86,pedometer,709,1.5281287399993948e+18
267,smartphone,499.4,pedometer,715,1.5281287399993948e+18
268,smartphone,499.4,pedometer,715,1.528128741999392e+18
269,smartphone,499.4,pedometer,715,1.528128741999392e+18
270,smartphone,502.94,pedometer,721,1.528128743999818e+18
271,smartphone,502.94,pedometer,721,1.528128743999818e+18
272,smartphone,502.94,pedometer,721,1.52812874599983e+18
273,smartphone,502.94,pedometer,721,1.528128746999841e+18
274,smartphone,502.94,pedometer,721,1.528128747999852e+18
275,smartphone,511.14,pedometer,731,1.528128748999861e+18
276,smartphone,511.14,pedometer,731,1.528128749999874e+18
277,smartphone,511.14,pedometer,731,1.5281287509998838e+18
278,smartphone,511.14,pedometer,731,1.5281287519998848e+18
279,smartphone,511.14,pedometer,731,1.528128752999886e+18
